global_item_id,scale,global_position,response_variance,severity_correlation,rank_score
gad7_q4,gad7,13,0.2824965949589621,0.7774433446452058,0.791568174393154
gad7_q2,gad7,11,0.2905661396399679,0.7581438093250802,0.7726721163070785
phq9_q4,phq9,4,0.3992420508415666,0.735101319326832,0.7550634218689103
gad7_q3,gad7,12,0.345004058574287,0.7305626600577891,0.7478128629865035
gad7_q6,gad7,15,0.28608850998348123,0.7275489753860661,0.7418534008852402
gad7_q7,gad7,16,0.21291375544166036,0.7223746728602076,0.7330203606322906
phq9_q6,phq9,6,0.36424402762746794,0.7095368745373049,0.7277490759186782
gad7_q5,gad7,14,0.17882610653388817,0.7187656210341931,0.7277069263608875
isi_q2,isi,32,0.3294005510541447,0.6992337392241187,0.7157037667768259
phq9_q2,phq9,2,0.33466636684929624,0.6940628476446385,0.7107961659871034
phq9_q5,phq9,5,0.34897248843603074,0.6881893212012752,0.7056379456230767
phq9_q3,phq9,3,0.44620166240375947,0.6783141189605255,0.7006242020807135
pss_q6,pss,22,1.9930264516060838,0.591760530910165,0.6914118534904692
phq9_q1,phq9,1,0.4138998996237121,0.6697136611368502,0.6904086561180358
pss_q9,pss,25,1.710317859536392,0.6025439527817191,0.6880598457585387
phq9_q7,phq9,7,0.3752228881786902,0.6668664054968626,0.6856275499057971
pss_q7,pss,23,1.5780316901094742,0.5974547455217895,0.6763563300272631
isi_q7,isi,37,0.4100550240686723,0.6557515673387934,0.676254318542227
isi_q1,isi,31,0.48199073200206227,0.650290163628594,0.6743897002286972
pss_q5,pss,21,1.874209251053663,0.57985406039813,0.6735645229508131
gad7_q1,gad7,10,0.32712397890963535,0.6473691012692938,0.6637253002147756
pss_q13,pss,29,1.5748582597887077,0.5544525664981285,0.6331954794875638
pss_q10,pss,26,1.7875364894008916,0.531801274978576,0.6211780994486206
isi_q4,isi,34,0.6521940974658792,0.5869953519778948,0.6196050568511887
phq9_q8,phq9,8,0.18840353669395515,0.6076598340185525,0.6170800108532503
pss_q4,pss,20,1.8802726361146238,0.5169890950193943,0.6110027268251255
isi_q3,isi,33,0.3196713169071265,0.5474928700570059,0.5634764359023622
pss_q2,pss,18,0.623826427766785,0.5059869659182151,0.5371782873065544
isi_q6,isi,36,0.37043668402763075,0.5154769401176066,0.5339987743189881
phq9_q9,phq9,9,0.10194796002169444,0.5197688626712377,0.5248662606723224
isi_q5,isi,35,0.4613437296583626,0.4997413594288296,0.5228085459117477
pss_q3,pss,19,0.6018402183420829,0.47336030898377046,0.5034523199008746
pss_q14,pss,30,0.7680997167782792,0.4533135128653828,0.49171849870429674
pss_q1,pss,17,0.5711849609216445,0.4305936288032409,0.45915287684932315
pss_q11,pss,27,0.6761522784487699,0.35293152276395134,0.3867391366863898
pss_q8,pss,24,0.9042806483160508,0.27815481817460397,0.32336885059040654
pss_q12,pss,28,1.640954297440413,0.09122861891296061,0.17327633378498125
